id,name,org_id,type,species,age,status,publish_date,status_changed_date,shots_current,org_name
45409613,Jeff,TX46,Dog,Dog,Senior,adoptable,2019-07-30T07:56:25+0000,2019-07-30T07:56:25+0000,FALSE,Animal_Defense_League_of_Texas
45409615,Fergie,TX46,Dog,Dog,Senior,adoptable,2019-07-30T07:56:25+0000,2019-07-30T07:56:25+0000,FALSE,Animal_Defense_League_of_Texas
45409611,Hans,TX46,Dog,Dog,Senior,adoptable,2019-07-30T07:56:25+0000,2019-07-30T07:56:25+0000,FALSE,Animal_Defense_League_of_Texas
45409612,Butch,TX46,Dog,Dog,Senior,adoptable,2019-07-30T07:56:25+0000,2019-07-30T07:56:25+0000,FALSE,Animal_Defense_League_of_Texas
45407212,Ringer,TX2182,Cat,Cat,Baby,adoptable,2019-07-30T01:02:21+0000,2019-07-30T01:02:21+0000,TRUE,Bastrop_C_A_T_S_
45407175,Leo,TX2182,Cat,Cat,Baby,adoptable,2019-07-30T00:56:14+0000,2019-07-30T00:56:14+0000,TRUE,Bastrop_C_A_T_S_
45396253,spuds,TX1257,Dog,Dog,Young,adoptable,2019-07-28T12:59:59+0000,2019-07-28T12:59:59+0000,TRUE,Shaggy_Dog_Rescue
45389086,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T02:02:56+0000,2019-08-08T20:13:54+0000,TRUE,Tysons_Pals_Rescue
45389084,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T02:01:47+0000,2019-08-08T20:13:54+0000,TRUE,Tysons_Pals_Rescue
45389081,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T02:00:14+0000,2019-08-08T20:13:54+0000,TRUE,Tysons_Pals_Rescue
45389079,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:58:09+0000,2019-08-08T20:13:55+0000,TRUE,Tysons_Pals_Rescue
45389077,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:55:52+0000,2019-08-08T20:13:55+0000,TRUE,Tysons_Pals_Rescue
45389075,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:53:42+0000,2019-08-08T20:13:55+0000,TRUE,Tysons_Pals_Rescue
45389072,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:51:55+0000,2019-08-08T20:13:56+0000,TRUE,Tysons_Pals_Rescue
45389069,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:48:56+0000,2019-08-08T20:13:56+0000,TRUE,Tysons_Pals_Rescue
45389068,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:47:29+0000,2019-08-08T20:13:56+0000,TRUE,Tysons_Pals_Rescue
45389064,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:45:57+0000,2019-08-08T20:13:56+0000,TRUE,Tysons_Pals_Rescue
45389050,Jerry,TX1841,Dog,Dog,Adult,adopted,2019-07-28T01:44:03+0000,2019-08-08T20:14:44+0000,TRUE,Tysons_Pals_Rescue
45389043,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:39:57+0000,2019-07-28T01:39:57+0000,TRUE,Tysons_Pals_Rescue
45389033,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:36:23+0000,2019-07-28T01:36:23+0000,TRUE,Tysons_Pals_Rescue
45389029,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:34:55+0000,2019-07-28T01:34:55+0000,TRUE,Tysons_Pals_Rescue
45389021,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:32:54+0000,2019-07-28T01:32:54+0000,TRUE,Tysons_Pals_Rescue
45389000,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:21:19+0000,2019-07-28T01:21:19+0000,TRUE,Tysons_Pals_Rescue
45388997,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:19:42+0000,2019-07-28T01:19:42+0000,FALSE,Tysons_Pals_Rescue
45388992,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:16:12+0000,2019-07-28T01:16:12+0000,FALSE,Tysons_Pals_Rescue
45388986,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:12:39+0000,2019-07-28T01:12:39+0000,FALSE,Tysons_Pals_Rescue
45388979,Tom,TX1841,Dog,Dog,Adult,adoptable,2019-07-28T01:01:45+0000,2019-07-28T01:01:45+0000,FALSE,Tysons_Pals_Rescue
45371672,Jerico,TX2387,Dog,Dog,Young,adopted,2019-07-26T02:05:53+0000,2019-08-16T22:09:06+0000,TRUE,Smushy_Faces_Rescue_of_Texas_Inc
45371637,Demi,TX2387,Dog,Dog,Young,adopted,2019-07-26T01:54:10+0000,2019-08-25T22:54:02+0000,TRUE,Smushy_Faces_Rescue_of_Texas_Inc
45371613,Stella,TX2387,Dog,Dog,Adult,adopted,2019-07-26T01:48:24+0000,2019-08-16T22:09:33+0000,TRUE,Smushy_Faces_Rescue_of_Texas_Inc
45371572,Roscoe,TX2387,Dog,Dog,Adult,adoptable,2019-07-26T01:27:45+0000,2019-07-26T01:27:45+0000,TRUE,Smushy_Faces_Rescue_of_Texas_Inc
45366373,Lupe,TX46,Dog,Dog,Adult,adoptable,2019-07-25T21:20:40+0000,2019-07-25T21:20:40+0000,FALSE,Animal_Defense_League_of_Texas
45366372,Eva,TX46,Dog,Dog,Adult,adoptable,2019-07-25T21:20:40+0000,2019-07-25T21:20:40+0000,FALSE,Animal_Defense_League_of_Texas
45366374,Chester,TX46,Dog,Dog,Adult,adopted,2019-07-25T21:20:40+0000,2019-07-30T07:56:26+0000,FALSE,Animal_Defense_League_of_Texas
45361493,Miley,TX1773,Dog,Dog,Young,adoptable,2019-07-25T14:41:29+0000,2019-07-25T14:41:29+0000,TRUE,Miniature_Pinscher_Rescue_Houston
45361408,Gizmo,TX1773,Dog,Dog,Young,adoptable,2019-07-25T14:05:42+0000,2019-07-25T14:05:42+0000,TRUE,Miniature_Pinscher_Rescue_Houston
45361301,Rueger_ADOPTED_,TX1773,Dog,Dog,Baby,adoptable,2019-07-25T13:27:19+0000,2019-07-25T13:27:19+0000,TRUE,Miniature_Pinscher_Rescue_Houston
45361281,Casey_ADOPTED_,TX1773,Dog,Dog,Young,adoptable,2019-07-25T13:11:03+0000,2019-07-25T13:11:03+0000,TRUE,Miniature_Pinscher_Rescue_Houston
