id,name,org_id,type,species,age,status,publish_date,status_changed_date,shots_current,org_name
43918697,Sky,TX1002,Dog,Dog,Adult,adopted,2019-02-02T09:37:32+0000,2019-05-20T20:44:26+0000,FALSE,San_Antonio_Doberman_Advocacy_and_Rescue
43915700,Bill_and_Cricket_Bonded_Pair,TX2164,Dog,Dog,Young,adopted,2019-02-01T18:32:44+0000,2019-03-14T22:10:05+0000,TRUE,Yellow_Rose_Animal_Rescue
43915598,Belle_3,TX2164,Dog,Dog,Adult,adopted,2019-02-01T17:20:31+0000,2019-02-07T13:21:56+0000,TRUE,Yellow_Rose_Animal_Rescue
43895194,Gonzo,TX46,Dog,Dog,Adult,adopted,2019-01-30T13:12:30+0000,2019-04-23T09:32:26+0000,FALSE,Animal_Defense_League_of_Texas
43895196,Puma,TX46,Cat,Cat,Adult,adopted,2019-01-30T13:12:30+0000,2019-04-12T09:27:23+0000,FALSE,Animal_Defense_League_of_Texas
43891255,Stumpy,TX450,Dog,Dog,Baby,adopted,2019-01-29T20:52:40+0000,2019-01-30T18:44:05+0000,FALSE,City_Of_Clyde_Animal_Shelter
43890929,Rio,TX450,Dog,Dog,Baby,adopted,2019-01-29T20:40:46+0000,2019-01-30T18:43:48+0000,FALSE,City_Of_Clyde_Animal_Shelter
43890550,Mondo,TX450,Dog,Dog,Adult,adopted,2019-01-29T20:26:33+0000,2019-02-06T17:34:19+0000,FALSE,City_Of_Clyde_Animal_Shelter
43890274,Shiro,TX46,Dog,Dog,Young,adopted,2019-01-29T19:59:17+0000,2019-03-05T13:13:56+0000,FALSE,Animal_Defense_League_of_Texas
43890270,Eleanor,TX46,Dog,Dog,Adult,adopted,2019-01-29T19:59:17+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43890271,Kitty,TX46,Dog,Dog,Adult,adopted,2019-01-29T19:59:17+0000,2019-05-07T09:09:50+0000,FALSE,Animal_Defense_League_of_Texas
43890275,Thor,TX46,Dog,Dog,Senior,adopted,2019-01-29T19:59:17+0000,2019-05-09T01:28:30+0000,FALSE,Animal_Defense_League_of_Texas
43890272,Marshall,TX46,Dog,Dog,Young,adoptable,2019-01-29T19:59:17+0000,2019-01-29T19:59:17+0000,FALSE,Animal_Defense_League_of_Texas
43890273,Remington,TX46,Dog,Dog,Adult,adoptable,2019-01-29T19:59:17+0000,2019-01-29T19:59:17+0000,FALSE,Animal_Defense_League_of_Texas
43883821,Finn,TX2289,Dog,Dog,Young,adoptable,2019-01-29T00:33:14+0000,2019-01-29T00:33:14+0000,FALSE,City_of_Waller_Animal_Shelter
43882966,Ace,TX2284,Dog,Dog,Adult,adoptable,2019-01-28T20:15:11+0000,2019-01-28T20:15:11+0000,TRUE,Sulphur_Springs_Animal_Shelter
43882943,Axel,TX2284,Dog,Dog,Adult,adopted,2019-01-28T20:12:35+0000,2019-01-29T19:59:28+0000,TRUE,Sulphur_Springs_Animal_Shelter
43872633,Gray_Baby,TX1772,Cat,Cat,Young,adopted,2019-01-27T06:14:00+0000,2019-02-10T18:51:29+0000,TRUE,BCS_Spay
43872614,Elvis,TX1772,Cat,Cat,Baby,adopted,2019-01-27T05:58:02+0000,2019-01-27T05:58:02+0000,TRUE,BCS_Spay
43872181,Sophie,TX2289,Dog,Dog,Baby,adopted,2019-01-27T01:49:12+0000,2019-02-23T21:32:48+0000,FALSE,City_of_Waller_Animal_Shelter
43870014,fenwood,TX1257,Dog,Dog,Young,adopted,2019-01-26T19:44:32+0000,2019-05-29T21:24:21+0000,TRUE,Shaggy_Dog_Rescue
43870098,Moon_Pie,TX46,Cat,Cat,Adult,adopted,2019-01-26T19:43:01+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43866420,Fluffy,TX1735,Cat,Cat,Senior,adopted,2019-01-26T13:41:31+0000,2019-02-06T22:17:40+0000,TRUE,Garland_Pawsibilities
43866010,Roxanne,TX46,Dog,Dog,Adult,adopted,2019-01-26T13:17:16+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43866009,Nutmeg,TX46,Cat,Cat,Adult,adopted,2019-01-26T13:17:16+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43863214,Tucker,TX2341,Dog,Dog,Adult,adoptable,2019-01-25T21:54:56+0000,2019-01-25T21:54:56+0000,TRUE,Living_the_Doxie_Dream_Rescue_and_Sanctuary
43858146,Padfoot,TX2341,Dog,Dog,Adult,adoptable,2019-01-25T16:43:52+0000,2019-01-25T16:43:52+0000,TRUE,Living_the_Doxie_Dream_Rescue_and_Sanctuary
43854767,Harlan,TX46,Dog,Dog,Adult,adopted,2019-01-25T02:59:39+0000,2019-03-14T16:09:19+0000,FALSE,Animal_Defense_League_of_Texas
43843168,Rosie,TX494,Cat,Cat,Young,adopted,2019-01-23T19:46:53+0000,2019-02-10T15:20:25+0000,FALSE,Texarkana_Humane_Society
43837480,RC,TX46,Dog,Dog,Adult,adopted,2019-01-23T06:20:06+0000,2019-06-04T00:13:15+0000,FALSE,Animal_Defense_League_of_Texas
43837475,Dixie,TX46,Dog,Dog,Adult,adopted,2019-01-23T06:20:06+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43837477,Tonka,TX46,Dog,Dog,Adult,adopted,2019-01-23T06:20:06+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43837481,Dude,TX46,Dog,Dog,Senior,adopted,2019-01-23T06:20:06+0000,2019-02-26T03:01:32+0000,FALSE,Animal_Defense_League_of_Texas
43837479,Dexter,TX46,Cat,Cat,Adult,adoptable,2019-01-23T06:20:06+0000,2019-01-23T06:20:06+0000,FALSE,Animal_Defense_League_of_Texas
43832197,Robbie,TX46,Cat,Cat,Adult,adopted,2019-01-22T15:55:39+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43832198,Brie,TX46,Dog,Dog,Adult,adopted,2019-01-22T15:55:39+0000,2019-03-06T06:35:48+0000,FALSE,Animal_Defense_League_of_Texas
43831028,Flash,TX2289,Dog,Dog,Baby,adopted,2019-01-22T12:48:48+0000,2019-01-27T01:49:39+0000,FALSE,City_of_Waller_Animal_Shelter
43826696,Big_Foot_II,TX898,Dog,Dog,Adult,adopted,2019-01-21T17:54:26+0000,2019-02-26T21:55:42+0000,TRUE,Austin_Boxer_Rescue
43826692,Harriette,TX898,Dog,Dog,Adult,adopted,2019-01-21T17:53:14+0000,2019-03-21T13:27:27+0000,TRUE,Austin_Boxer_Rescue
43826562,Tyson,TX898,Dog,Dog,Adult,adoptable,2019-01-21T16:55:31+0000,2019-01-21T16:55:31+0000,TRUE,Austin_Boxer_Rescue
43826553,Biddy,TX898,Dog,Dog,Adult,adoptable,2019-01-21T16:52:01+0000,2019-01-21T16:52:01+0000,TRUE,Austin_Boxer_Rescue
43826545,Hamlet,TX898,Dog,Dog,Adult,adoptable,2019-01-21T16:51:15+0000,2019-01-21T16:51:15+0000,TRUE,Austin_Boxer_Rescue
43826520,Dozer_Ammo,TX898,Dog,Dog,Adult,adoptable,2019-01-21T16:46:08+0000,2019-01-21T16:46:08+0000,TRUE,Austin_Boxer_Rescue
43822642,JOLIE,TX2054,Dog,Dog,Young,adopted,2019-01-20T21:47:37+0000,2019-02-04T20:48:36+0000,TRUE,Hooves_and_Hounds_Rescue_and_Rehabilitation_Sanctuary
43801340,Noodles,TX2338,Cat,Cat,Adult,adopted,2019-01-18T07:47:52+0000,2019-03-27T07:42:58+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43801337,Alfredo,TX2338,Cat,Cat,Baby,adopted,2019-01-18T07:20:57+0000,2019-01-26T02:45:50+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43801336,Gnocchi,TX2338,Cat,Cat,Baby,adopted,2019-01-18T07:18:39+0000,2019-01-28T03:29:54+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43801334,Soba,TX2338,Cat,Cat,Baby,adopted,2019-01-18T07:16:48+0000,2019-01-26T02:45:51+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43801330,Ravioli,TX2338,Cat,Cat,Baby,adopted,2019-01-18T07:13:37+0000,2019-01-28T03:29:54+0000,TRUE,Fuzzy_Texan_Animal_Rescue
43801325,Cody,TX633,Dog,Dog,Baby,adopted,2019-01-18T06:58:29+0000,2019-02-26T01:29:08+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801323,Butch,TX633,Dog,Dog,Adult,adopted,2019-01-18T06:55:50+0000,2019-08-24T18:37:00+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801322,Buddy,TX633,Dog,Dog,Young,adopted,2019-01-18T06:54:08+0000,2019-02-26T01:30:01+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801320,Brady,TX633,Dog,Dog,Adult,adopted,2019-01-18T06:51:57+0000,2019-08-24T18:37:00+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801318,Bo,TX633,Dog,Dog,Adult,adopted,2019-01-18T06:49:29+0000,2019-08-24T18:37:01+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801317,Bessie,TX633,Dog,Dog,Young,adopted,2019-01-18T06:46:56+0000,2019-02-26T01:30:02+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801315,Benji,TX633,Dog,Dog,Young,adopted,2019-01-18T06:44:58+0000,2019-02-26T01:30:02+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801314,Abe,TX633,Dog,Dog,Young,adopted,2019-01-18T06:42:41+0000,2019-02-26T01:30:02+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801312,Abby,TX633,Dog,Dog,Baby,adopted,2019-01-18T06:40:49+0000,2019-02-26T01:30:03+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801310,Nicole,TX633,Dog,Dog,Baby,adopted,2019-01-18T06:37:47+0000,2019-02-26T01:30:03+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801307,Natasha,TX633,Dog,Dog,Adult,adopted,2019-01-18T06:35:20+0000,2019-02-26T01:30:03+0000,TRUE,Friends_of_the_Bowie_Animal_Shelter
43801304,Nixon,TX633,Dog,Dog,Baby,adopted,2019-01-18T06:32:51+0000,2019-02-26T01:30:25+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43801300,Nestor,TX633,Dog,Dog,Adult,adopted,2019-01-18T06:29:03+0000,2019-08-24T18:37:01+0000,FALSE,Friends_of_the_Bowie_Animal_Shelter
43784018,Winnie,TX2164,Dog,Dog,Adult,adopted,2019-01-16T13:52:16+0000,2019-01-31T23:10:45+0000,TRUE,Yellow_Rose_Animal_Rescue
43783990,Buddy,TX2164,Dog,Dog,Young,adopted,2019-01-16T13:26:18+0000,2019-01-31T23:11:01+0000,TRUE,Yellow_Rose_Animal_Rescue
43783423,Snuggles,TX2338,Cat,Cat,Young,adopted,2019-01-16T02:52:02+0000,2019-01-23T04:05:38+0000,FALSE,Fuzzy_Texan_Animal_Rescue
43770211,Minnie_Mouse,TX901,Cat,Cat,Baby,adopted,2019-01-14T18:05:04+0000,2019-05-03T19:07:30+0000,TRUE,Kitty_Save
43770202,Clyde,TX901,Cat,Cat,Baby,adopted,2019-01-14T18:03:46+0000,2019-01-25T21:18:57+0000,TRUE,Kitty_Save
43770153,Bonnie,TX901,Cat,Cat,Baby,adopted,2019-01-14T18:02:14+0000,2019-05-03T19:08:05+0000,TRUE,Kitty_Save
43766193,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T22:10:42+0000,2019-04-21T20:25:06+0000,TRUE,Tysons_Pals_Rescue
43766188,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T22:09:28+0000,2019-04-21T20:25:06+0000,TRUE,Tysons_Pals_Rescue
43766184,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T22:08:14+0000,2019-04-21T20:25:07+0000,TRUE,Tysons_Pals_Rescue
43766177,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T22:05:08+0000,2019-04-21T20:25:07+0000,TRUE,Tysons_Pals_Rescue
43766174,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T22:03:40+0000,2019-04-21T20:25:07+0000,TRUE,Tysons_Pals_Rescue
43766170,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T22:01:38+0000,2019-04-21T20:25:08+0000,TRUE,Tysons_Pals_Rescue
43766167,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:59:49+0000,2019-04-21T20:25:29+0000,TRUE,Tysons_Pals_Rescue
43766165,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:58:08+0000,2019-04-21T20:25:30+0000,TRUE,Tysons_Pals_Rescue
43766162,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:56:59+0000,2019-04-21T20:25:30+0000,TRUE,Tysons_Pals_Rescue
43766159,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:55:44+0000,2019-04-21T20:25:30+0000,TRUE,Tysons_Pals_Rescue
43766152,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:54:20+0000,2019-04-21T20:25:31+0000,TRUE,Tysons_Pals_Rescue
43766134,Petty,TX1841,Dog,Dog,Adult,adopted,2019-01-13T21:51:32+0000,2019-04-21T20:25:31+0000,TRUE,Tysons_Pals_Rescue
